state	action
983	-1
984	1
985	0
986	-1
987	1
988	1
989	-1
990	0
991	0
992	0
993	0
994	0
995	-1
996	0
997	-1
998	-1
999	1
1000	-1
1001	1
1002	1
1003	0
1004	0
1005	0
1006	-1
1007	-1
1008	1
1009	1
1010	1
1011	0
1012	-1
1013	0
1014	0
1015	-1
1016	1
1017	1
1018	0
1019	0
1020	1
1021	-1
1023	1
1024	1
1025	0
1027	1
1028	1
1029	1
1030	-1
1031	1
1032	0
1033	1
1034	1
1035	0
1036	0
1037	-1
1038	0
1039	1
1040	0
1041	1
1042	1
1043	-1
1044	0
1045	0
1046	-1
1047	0
1048	-1
1049	-1
1050	0
1051	-1
1052	0
1053	-1
1054	-1
1055	0
1056	0
1057	1
1058	0
1059	0
1060	1
1061	-1
1062	0
1063	1
1064	0
1065	-1
1066	0
1067	1
1068	1
1069	-1
1070	1
1071	1
1072	0
1073	0
1074	-1
1075	0
1076	1
1077	-1
1078	0
1079	1
1080	1
1081	-1
1082	-1
1083	-1
1084	1
1085	-1
1086	-1
1087	0
1088	0
1089	-1
1090	-1
1091	1
1092	-1
1093	-1
1094	1
1095	0
1096	1
1097	-1
1098	0
1099	0
1100	0
1101	0
1102	0
1103	1
1104	0
1105	0
1106	0
1107	-1
1108	-1
1109	0
1110	0
1111	0
1112	1
1113	0
1114	1
1115	0
1116	-1
1117	-1
1118	0
1119	-1
1120	0
1121	1
1122	0
1123	0
1124	-1
1125	-1
1126	-1
1127	1
1128	0
1129	-1
1130	0
1131	0
1132	-1
1133	0
1134	-1
1135	0
1136	1
1137	-1
1138	1
1139	0
1140	0
1141	0
1142	1
1143	1
1144	0
1145	-1
1146	-1
1147	-1
1148	1
1149	0
1151	-1
1152	1
1153	-1
1155	-1
1156	-1
1157	0
1158	-1
1159	0
1160	0
1161	1
1162	1
1163	0
1164	1
1165	1
1166	-1
1167	-1
1168	-1
1169	-1
1170	-1
1171	1
1172	1
1173	0
1174	0
1175	1
1176	0
1177	-1
1178	0
1179	0
1180	0
1181	0
1182	1
1183	1
1184	0
1185	1
1186	-1
1187	0
1188	-1
1189	-1
1190	1
1191	0
1192	-1
1193	-1
1194	0
1195	-1
1196	0
1197	0
1198	-1
1199	0
1200	0
1201	-1
1202	1
1203	-1
1204	0
1205	-1
1206	0
1207	1
1208	-1
1209	1
1210	1
1211	-1
1212	-1
1213	-1
1214	-1
1215	-1
1216	-1
1217	1
1218	-1
1219	-1
1220	1
1221	-1
1222	-1
1223	0
1224	-1
1225	-1
1226	-1
1227	-1
1228	1
1229	1
1230	0
1231	-1
1232	0
1233	1
1234	-1
1235	0
1236	1
1237	0
1238	0
1239	1
1240	1
1241	-1
1242	0
1243	1
1244	-1
1245	1
1246	1
1247	1
1248	0
1249	-1
1250	-1
1251	-1
1252	0
1253	1
1254	0
1255	0
1256	0
1257	1
1258	-1
1259	-1
1260	1
1261	-1
1262	1
1263	-1
1264	-1
1265	0
1266	0
1267	-1
1268	-1
1269	1
1270	0
1271	1
1272	1
1273	1
1274	1
1275	0
1276	0
1277	1
1279	0
1280	1
1281	0
1283	1
1284	0
1285	0
1286	-1
1287	1
1288	1
1289	0
1290	1
1291	0
1292	0
1293	0
1294	-1
1295	-1
1296	0
1297	1
1298	-1
1299	1
1300	0
1301	-1
1302	1
1303	1
1304	1
1305	1
1306	-1
1307	0
1308	1
1309	-1
1310	0
1311	-1
1312	1
1313	-1
1314	1
1315	-1
1316	-1
1317	1
1318	0
1319	0
1320	1
1322	-1
1323	-1
1324	-1
1325	1
1326	1
1327	1
1328	-1
1329	1
1330	-1
1331	0
1332	0
1333	-1
1334	0
1335	-1
1336	1
1337	1
1338	-1
1339	0
1340	-1
1341	-1
1342	1
1343	-1
1344	0
1345	1
1346	-1
1347	-1
1348	-1
1349	1
1350	1
1351	1
1352	-1
1353	1
1354	1
1355	0
1356	-1
1357	-1
1358	1
1359	0
1360	-1
1361	1
1362	0
1363	0
1364	-1
1365	0
1366	0
1367	0
1368	0
1369	0
1370	-1
1371	0
1372	-1
1373	-1
1374	1
1375	1
1376	1
1377	0
1378	1
1379	-1
1380	0
1381	0
1382	0
1383	1
1384	0
1385	1
1386	1
1387	1
1388	-1
1389	1
1390	1
1391	1
1392	0
1393	-1
1394	1
1395	-1
1396	0
1397	0
1398	1
1399	-1
1400	1
1401	-1
1402	0
1403	-1
1404	-1
1405	-1
1407	1
1408	0
1409	1
1411	-1
1412	-1
1413	1
1414	1
1415	0
1416	-1
1417	1
1418	0
1419	-1
1420	1
1421	0
1422	-1
1423	0
1424	-1
1425	0
1426	-1
1427	0
1428	-1
1429	0
1430	-1
1431	0
1432	-1
1433	-1
1434	0
1435	0
1436	1
1437	-1
1438	1
1439	0
1440	0
1441	-1
1442	0
1443	1
1444	1
1445	1
1446	0
1447	-1
1448	0
1449	0
1450	0
1451	1
1452	0
1453	0
1454	-1
1455	0
1456	-1
1457	1
1458	0
1459	1
1460	0
1461	1
1462	1
1463	0
1464	-1
1465	1
1466	0
1467	0
1468	1
1469	0
1470	1
1471	-1
1472	-1
1473	0
1474	0
1475	-1
1476	0
1477	0
1478	1
1479	1
1480	-1
1481	0
1482	0
1483	-1
1484	1
1485	0
1486	-1
1487	1
1488	0
1489	1
1490	1
1491	0
1492	-1
1493	0
1494	-1
1495	-1
1496	1
1497	0
1498	-1
1499	-1
1500	-1
1501	-1
1502	-1
1503	0
1504	-1
1505	1
1506	0
1507	0
1508	1
1509	0
1510	0
1511	1
1512	-1
1513	0
1514	0
1515	1
1516	1
1517	0
1518	0
1519	-1
1520	1
1521	1
1522	0
1523	0
1524	-1
1525	0
1526	1
1527	0
1528	0
1529	-1
1530	-1
1531	0
1532	0
1533	1
1535	1
1536	0
1537	-1
1539	1
1540	0
1541	1
1542	1
1543	-1
1544	0
1545	0
1546	-1
1547	0
1548	0
1549	0
1550	0
1551	0
1552	1
1553	-1
1554	0
1555	-1
1556	0
1557	1
1558	1
1559	1
1560	1
1561	0
1562	0
1563	0
1564	-1
1565	1
1566	-1
1567	0
1568	-1
1569	1
1570	-1
1571	1
1572	1
1573	-1
1574	0
1575	-1
1576	1
1577	-1
1578	-1
1579	0
1580	-1
1581	1
1582	1
1583	-1
1584	1
1585	-1
1586	-1
1587	0
1588	1
1589	0
1590	0
1591	1
1592	0
1593	0
1594	1
1595	-1
1596	1
1597	0
1598	0
1599	1
1600	1
1601	1
1602	1
1603	-1
1604	0
1605	1
1606	-1
1607	-1
1608	1
1609	1
1610	-1
1611	-1
1612	0
1613	1
1614	0
1615	-1
1616	0
1617	0
1618	0
1619	0
1620	-1
1621	0
1622	-1
1623	-1
1624	-1
1625	-1
1626	-1
1627	-1
1628	1
1629	-1
1630	1
1631	-1
1632	1
1633	-1
1634	0
1635	-1
1636	-1
1637	0
1638	0
1639	0
1640	1
1641	-1
1642	0
1643	-1
1644	-1
1645	0
1646	1
1647	1
1648	1
1649	-1
1650	-1
1651	0
1652	-1
1653	1
1654	1
1655	-1
1656	-1
1657	1
1658	0
1659	1
1660	0
1661	-1
1663	-1
1664	1
1665	0
1667	-1
1668	0
1669	-1
1670	1
1671	0
1672	-1
1673	0
1674	1
1676	1
1677	1
1678	1
1679	-1
1680	0
1681	0
1682	1
1683	0
1684	0
1685	-1
1686	0
1687	1
1688	1
1689	-1
1690	1
1691	-1
1692	-1
1693	-1
1694	1
1695	1
1696	0
1697	0
1698	-1
1699	1
1700	0
1701	-1
1702	1
1703	1
1704	-1
1705	0
1706	1
1707	-1
1708	0
1709	1
1710	-1
1711	0
1712	0
1713	1
1714	-1
1715	1
1716	0
1717	0
1718	1
1719	1
1720	1
1721	0
1722	1
1723	1
1724	-1
1725	1
1726	1
1727	-1
1728	0
1729	1
1730	1
1731	1
1732	1
1733	-1
1734	1
1735	0
1736	-1
1737	0
1738	0
1739	-1
1740	1
1741	0
1742	1
1743	1
1744	0
1745	-1
1746	1
1747	0
1748	0
1749	1
1750	-1
1751	-1
1752	1
1753	-1
1754	-1
1755	0
1756	0
1757	-1
1758	-1
1759	-1
1760	0
1761	1
1762	-1
1763	-1
1764	-1
1765	0
1766	1
1767	1
1768	0
1769	0
1770	0
1771	1
1772	0
1773	0
1774	1
1775	0
1776	0
1777	-1
1778	1
1779	-1
1780	1
1781	-1
1782	-1
1783	0
1784	0
1785	-1
1786	0
1787	1
1788	1
1789	0
1791	0
1792	-1
1793	-1
1796	0
1797	1
1798	-1
1799	-1
1800	-1
1801	1
1802	0
1804	0
1805	-1
1806	1
1807	-1
1808	-1
1809	0
1810	0
1812	1
1813	-1
1814	1
1815	0
1816	1
1817	0
1818	1
1819	-1
1820	0
1821	0
1822	1
1823	0
1824	1
1825	0
1826	1
1827	-1
1828	0
1829	-1
1830	1
1831	-1
1832	-1
1833	0
1834	1
1835	-1
1836	0
1837	1
1838	-1
1839	1
1840	-1
1841	-1
1842	1
1843	0
1844	0
1845	0
1846	0
1847	-1
1848	1
1849	0
1850	1
1851	0
1852	0
1853	1
1854	1
1855	1
1856	0
1857	-1
1858	1
1859	-1
1860	0
1861	0
1862	-1
1863	1
1864	0
1865	-1
1866	0
1867	-1
1868	1
1869	1
1870	-1
1871	-1
1872	1
1873	-1
1874	1
1875	-1
1876	0
1877	-1
1878	0
1879	-1
1880	-1
1881	0
1882	1
1883	0
1884	1
1885	-1
1886	0
1887	0
1888	1
1889	-1
1890	0
1891	-1
1892	0
1893	1
1894	1
1895	1
1896	-1
1897	0
1898	1
1899	-1
1900	1
1901	1
1902	-1
1903	-1
1904	0
1905	-1
1906	1
1907	-1
1908	1
1910	-1
1911	0
1912	-1
1913	1
1914	0
1915	-1
1916	-1
1917	-1
1919	-1
1920	-1
1921	1
1925	1
1926	0
1927	0
1928	0
1929	-1
1930	-1
1933	-1
1934	0
1935	1
1936	0
1937	1
1938	-1
1939	0
1941	1
1942	0
1943	-1
1944	-1
1945	1
1946	-1
1947	-1
1949	0
1950	1
1951	1
1952	1
1953	1
1954	1
1955	0
1957	0
1958	0
1959	-1
1960	-1
1961	-1
1962	1
1963	-1
1965	-1
1966	-1
1967	-1
1968	0
1969	1
1970	1
1971	1
1973	1
1974	1
1975	-1
1976	0
1977	0
1978	-1
1979	1
1981	-1
1982	-1
1983	1
1984	-1
1985	1
1986	1
1987	-1
1989	1
1990	1
1991	1
1992	0
1993	1
1994	-1
1995	0
1997	0
1998	0
1999	-1
2000	1
2001	0
2002	1
2003	-1
2005	-1
2006	1
2007	1
2008	0
2009	0
2010	1
2011	1
2013	1
2014	1
2015	-1
2016	1
2017	-1
2018	1
2019	1
2021	0
2022	0
2023	-1
2024	-1
2025	-1
2026	-1
2027	0
2029	1
2030	1
2031	0
2032	1
2033	-1
2034	0
2035	0
2037	1
2038	-1
2039	0
2040	0
2041	0
2042	1
2043	1
2044	1
2045	-1
2046	-1
2047	0
